FARMING_TYPE,COMMODITY_TYPE,COMMODITY,VARIETY,UNIT,STORES,PRICE_LOW,PRICE_HIGH,WTD AVG
ORGANIC,FRUITS,CLEMENTINES,,2 lb bag,26,4.99,4.99,4.99
ORGANIC,FRUITS,CRANBERRIES,,8 oz packa,18,3,3,3
ORGANIC,FRUITS,GRAPEFRUIT,RED,each,22,1.5,1.5,1.5
ORGANIC,FRUITS,GRAPEFRUIT,RED,per pound,11,1.49,1.49,1.49
ORGANIC,FRUITS,GRAPES,BLACK SEEDLESS,per pound,113,2.99,2.99,2.99
ORGANIC,FRUITS,GRAPES,RED SEEDLESS,per pound,334,1.99,3.47,2.71
ORGANIC,FRUITS,GRAPES,WHITE SEEDLESS TYPE,per pound,229,2.49,3.47,2.88
ORGANIC,FRUITS,KIWIFRUIT,HAYWARD,1 lb bag,435,2.99,5,4.91
ORGANIC,FRUITS,KIWIFRUIT,HAYWARD,each,37,0.25,0.29,0.27
ORGANIC,FRUITS,LEMONS,,2 lb bag,662,2.99,5.29,4.06
ORGANIC,FRUITS,LEMONS,,2 lb packa,10,4.99,4.99,4.99
ORGANIC,FRUITS,LEMONS,,each,278,0.4,1,0.95
ORGANIC,FRUITS,LEMONS,,per pound,13,0.99,1.99,1.45
ORGANIC,FRUITS,LIMES,,each,146,1,1,1
ORGANIC,FRUITS,MANGOES,,each,1513,1,2,1.84
ORGANIC,FRUITS,MISC BERRIES,BLACKBERRIES,5.6 - 6 oz,515,1.99,4.99,3.75
ORGANIC,FRUITS,MISC CITRUS,SATSUMA,3 lb bag,18,1.79,1.79,1.79
ORGANIC,FRUITS,MISC CITRUS,SATSUMA,per pound,148,1.79,2.99,2.11
ORGANIC,FRUITS,ORANGES,NAVEL,3 lb bag,157,3.99,6.99,5.42
ORGANIC,FRUITS,ORANGES,NAVEL,4 lb bag,85,4.99,4.99,4.99
ORGANIC,FRUITS,ORANGES,NAVEL,each,193,0.99,1.67,1.34
ORGANIC,FRUITS,ORANGES,NAVEL,per pound,270,1.48,1.99,1.93
ORGANIC,FRUITS,PEARS,BARTLETT,per pound,550,1.49,2.69,1.7
ORGANIC,FRUITS,PEARS,BOSC,per pound,435,1.49,2.99,1.62
ORGANIC,FRUITS,PEARS,D'ANJOU,per pound,78,1.99,2.49,2.13
ORGANIC,FRUITS,PERSIMMONS,,each,19,1.49,1.49,1.49
ORGANIC,FRUITS,PINEAPPLES,,each,713,2.99,4.99,3.14
ORGANIC,FRUITS,PINEAPPLES,,per pound,33,0.99,0.99,0.99
ORGANIC,FRUITS,POMEGRANATES,,each,31,1.99,2,2
ORGANIC,FRUITS,RASPBERRIES,RED,6 oz packa,24,4.99,4.99,4.99
ORGANIC,FRUITS,STRAWBERRIES,,1 lb packa,1,8.49,8.49,8.49
ORGANIC,FRUITS,TANGERINES,,2 lb bag,64,2.99,2.99,2.99
ORGANIC,FRUITS,TANGERINES,,per pound,37,2.49,3.49,2.79
ORGANIC,VEGETABLES,ASPARAGUS,GREEN,per pound,261,2.98,4.99,4.09
ORGANIC,VEGETABLES,BEANS,ROUND GREEN TYPE,per pound,444,2.49,2.99,2.98
ORGANIC,VEGETABLES,BEETS,,per bunch,30,0.99,2.5,2.15
ORGANIC,VEGETABLES,BROCCOLI,,per bunch,49,1.29,2.5,1.88
ORGANIC,VEGETABLES,BROCCOLI,,per pound,741,0.99,2.99,2.65
ORGANIC,VEGETABLES,BROCCOLI,BABY HYBRID TYPE,per bunch,19,1.69,1.69,1.69
ORGANIC,VEGETABLES,BROCCOLI,CROWN CUT,per pound,117,1.99,1.99,1.99
ORGANIC,VEGETABLES,BRUSSELS SPROUTS,,2 lb bag,118,2.99,2.99,2.99
ORGANIC,VEGETABLES,BRUSSELS SPROUTS,,per pound,149,2.99,3.99,3.18
ORGANIC,VEGETABLES,CABBAGE,RED TYPE,per pound,6,0.98,0.98,0.98
ORGANIC,VEGETABLES,CABBAGE,ROUND GREEN TYPE,per pound,7,0.98,1.59,1.07
ORGANIC,VEGETABLES,CARROTS,,1 lb bag,104,0.99,1.49,1.45
ORGANIC,VEGETABLES,CARROTS,,2 lb bag,105,1.5,2.89,2.23
ORGANIC,VEGETABLES,CARROTS,,per bunch,468,1.49,1.49,1.49
ORGANIC,VEGETABLES,CARROTS,BABY PEELED,1 lb bag,1430,1.29,2.99,1.89
ORGANIC,VEGETABLES,CARROTS,BABY PEELED,2 lb bag,95,1.98,2.99,2.77
ORGANIC,VEGETABLES,CAULIFLOWER,,each,239,3.5,4.99,3.96
ORGANIC,VEGETABLES,CELERY,,each,256,1.5,2.99,2.74
ORGANIC,VEGETABLES,CELERY,,per pound,152,0.99,1,1
ORGANIC,VEGETABLES,CELERY,HEARTS,each,323,1.78,3.49,2.92
ORGANIC,VEGETABLES,CILANTRO,,per bunch,68,1.59,1.99,1.92
ORGANIC,VEGETABLES,CUCUMBERS,,each,747,0.68,1.29,0.99
ORGANIC,VEGETABLES,CUCUMBERS,LONG SEEDLESS-GREENHOUSE,each,25,0.99,1.99,1.75
ORGANIC,VEGETABLES,GREENS,COLLARD,per bunch,19,1.49,1.49,1.49
ORGANIC,VEGETABLES,GREENS,KALE,per bunch,1556,0.77,2.5,1.57
ORGANIC,VEGETABLES,GREENS,KALE,per pound,36,0.99,0.99,0.99
ORGANIC,VEGETABLES,GREENS,MUSTARD,per bunch,19,1.49,1.49,1.49
ORGANIC,VEGETABLES,GREENS,SWISS CHARD,per bunch,41,2,2,2
ORGANIC,VEGETABLES,LETTUCE,,,,,,
ORGANIC,VEGETABLES,LETTUCE,,,,,,
ORGANIC,VEGETABLES,LETTUCE,,,,,,
ORGANIC,VEGETABLES,LETTUCE,,,,,,
ORGANIC,VEGETABLES,LETTUCE,,,,,,
ORGANIC,VEGETABLES,MUSHROOMS,PORTOBELLA,6 oz packa,7,3.99,3.99,3.99
ORGANIC,VEGETABLES,MUSHROOMS,PORTOBELLA,per pound,11,4.99,4.99,4.99
ORGANIC,VEGETABLES,MUSHROOMS,WHITE,8 oz packa,684,1.66,5,2.84
ORGANIC,VEGETABLES,PEPPERS,,,,,,
ORGANIC,VEGETABLES,PEPPERS,,,,,,
ORGANIC,VEGETABLES,PEPPERS,,,,,,
ORGANIC,VEGETABLES,PEPPERS,,,,,,
ORGANIC,VEGETABLES,RADISHES,,per bunch,21,1.49,1.99,1.78
ORGANIC,VEGETABLES,SALAD,MIXED TYPES,1 lb bag,940,3.5,5.99,4.76
